mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
18.308,0.499,0.749,0.006,1.656,0.446,2.857,5.522,0
18.637,0.499,0.128,0.004,1.559,0.394,2.085,4.921,0
17.389,0.506,0.097,0.004,1.499,0.315,1.916,4.833,0
17.846,0.522,0.084,0.003,1.468,0.283,1.838,4.851,0
17.741,0.531,0.073,0.003,1.438,0.273,1.787,4.839,0
18.77,0.53,0.068,0.003,1.395,0.258,1.724,4.86,0
18.298,0.538,0.088,0.003,1.327,0.251,1.669,4.866,0
18.24,0.56,0.069,0.003,1.249,0.259,1.58,4.882,0
18.65,0.582,0.07,0.003,1.22,0.264,1.556,4.855,0
20.229,0.608,0.076,0.003,1.155,0.265,1.499,4.859,0
18.898,0.622,0.055,0.003,1.073,0.267,1.397,4.83,0
18.642,0.644,0.056,0.003,1.004,0.257,1.32,4.863,0
18.033,0.674,0.079,0.002,0.951,0.256,1.288,4.863,0
19.119,0.688,0.051,0.002,0.92,0.277,1.249,4.904,0
18.854,0.68,0.052,0.003,0.924,0.266,1.245,4.848,0
18.757,0.706,0.061,0.002,0.836,0.265,1.164,4.867,0
18.913,0.72,0.061,0.002,0.785,0.261,1.109,4.849,0
18.37,0.73,0.049,0.002,0.759,0.262,1.072,4.851,0
19.547,0.73,0.061,0.002,0.762,0.265,1.091,4.832,0
18.868,0.748,0.052,0.002,0.714,0.261,1.028,4.796,0
19.707,0.748,0.045,0.002,0.699,0.254,1,4.796,0
17.641,0.532,0.727,0.006,1.581,0.418,2.732,5.574,0
20.783,0.508,0.099,0.004,1.536,0.364,2.004,4.797,0
19.224,0.528,0.091,0.004,1.443,0.307,1.846,4.773,0
21.138,0.551,0.061,0.004,1.338,0.302,1.704,4.83,0
19.395,0.584,0.047,0.004,1.234,0.301,1.586,4.766,0
20.791,0.608,0.053,0.003,1.142,0.317,1.515,4.772,0
21.533,0.63,0.073,0.003,1.07,0.306,1.452,4.833,0
20.846,0.648,0.053,0.003,1,0.305,1.361,4.725,0
21.587,0.685,0.045,0.003,0.947,0.288,1.283,4.768,0
22.219,0.69,0.049,0.003,0.894,0.295,1.241,4.817,0
20.005,0.722,0.032,0.003,0.822,0.301,1.157,4.727,0
21.602,0.717,0.038,0.003,0.801,0.283,1.126,4.732,0
22.512,0.733,0.044,0.003,0.773,0.289,1.109,4.778,0
21.482,0.759,0.024,0.003,0.748,0.296,1.072,4.751,0
20.461,0.756,0.032,0.003,0.734,0.283,1.052,4.739,0
22.019,0.784,0.033,0.003,0.671,0.284,0.991,4.784,0
21.304,0.783,0.039,0.003,0.639,0.286,0.967,4.851,0
20.65,0.794,0.028,0.003,0.6,0.284,0.915,4.758,0
20.73,0.791,0.033,0.003,0.593,0.27,0.899,4.791,0
21.226,0.796,0.021,0.003,0.596,0.279,0.899,4.779,0
21.699,0.81,0.035,0.003,0.56,0.271,0.869,5.029,0
22.37,0.828,0.017,0.002,0.492,0.272,0.784,4.793,0
22.503,0.81,0.024,0.003,0.575,0.281,0.882,5.222,0
173.142,0.823,0.024,0.002,0.535,0.262,0.824,4.329,0
166.219,0.837,0.014,0.002,0.491,0.275,0.782,4.186,0
160.294,0.82,0.029,0.003,0.527,0.278,0.837,4.201,0
